time,returns,cp_prob,detected_50,detected_75
0,-0.0058560792812675745,0.0,0,0
1,0.0006837085736257196,0.0,0,0
2,0.004777973170042083,0.0,0,0
3,-0.0036936401507382463,0.0,0,0
4,-0.003162323229574255,0.0,0,0
5,0.005307207642500557,0.0,0,0
6,-0.0003242262925264743,0.0,0,0
7,-0.011276294043785095,0.0,0,0
8,-0.006186209387629104,0.0,0,0
9,0.005942774754391274,0.0,0,0
10,0.0044952515095797565,0.0,0,0
11,-0.0013863094608939852,0.0,0,0
12,0.0030687429619148917,0.0,0,0
13,-0.004173037552663372,0.0,0,0
14,-0.006412079408272598,0.0,0,0
15,-0.0005458585692428034,0.0,0,0
16,0.0017163896222736304,0.0,0,0
17,-0.005196798761449107,0.0,0,0
18,-0.0033499307753487055,0.0,0,0
19,0.0051264787497513785,0.0,0,0
20,0.00048748216432492516,0.5,0,0
21,0.002652480464089565,0.5231668167445915,1,0
22,-0.0031502822796102632,0.4773602462077135,0,0
23,-0.0070473330942283086,0.5202214206804323,1,0
24,0.0030274791944822866,0.4902121578466478,0,0
25,0.0026024704513466558,0.49462486879478745,0,0
26,-0.0006667872988887984,0.4806862714415756,0,0
27,-0.0031331266761658156,0.4862868089659206,0,0
28,0.007431001899936757,0.4720452853869148,0,0
29,0.005752253805011248,0.5825976150492139,1,0
30,0.002160405104330131,0.5763974144397633,1,0
31,0.0021047778556241774,0.5671713389900731,1,0
32,0.005304755571537719,0.5316181781339654,1,0
33,0.004918612729546731,0.5343262896689407,1,0
34,0.00901551792695496,0.5487424411745548,1,0
35,-0.0007177575263157157,0.496704606226323,0,0
36,0.0038802515663239156,0.6282385168692477,1,0
37,0.0019170830366232352,0.5741527212177482,1,0
38,0.0033349215243869026,0.6580472584517776,1,0
39,-0.0022510318457376736,0.30859193015703146,0,0
40,-0.010696224196273887,0.03661004551011413,0,0
41,-0.008104254309275262,0.2834752733532211,0,0
42,-0.0032586576551167424,0.4022490562413934,0,0
43,-0.0004954337623839433,0.4326323313608956,0,0
44,-6.353490419172871e-05,0.4631450272009468,0,0
45,0.0027714487636716907,0.5446862031668216,1,0
46,-0.008905014105134732,0.3550318425527591,0,0
47,0.004332578891161658,0.545793423202337,1,0
48,-0.005885952416144211,0.3701706928278878,0,0
49,-0.003941589589248688,0.4177008255804007,0,0
50,0.005152251236933481,0.5106040598996542,1,0
51,0.005270890980527401,0.5148645131056211,1,0
52,-0.007785997021280731,0.546212112002192,1,0
53,0.009900818329345848,0.6553772939607664,1,0
54,0.005924067958074286,0.4800771864289858,0,0
55,-0.0012932103218259651,0.4300727532321529,0,0
56,-0.0026294592874193516,0.4504517973104241,0,0
57,0.0,0.40799022169973004,0,0
58,0.0044198072925516795,0.38352059785662446,0,0
59,-0.007602615721689905,0.6855573256686109,1,0
60,-0.0028691356145944757,0.45797534924634475,0,0
61,-0.003583322375392872,0.49616630213728513,0,0
62,-0.013565310721823263,0.8121138456447541,1,1
63,-0.00795752569658039,0.6303258155122277,1,0
64,-0.014597030932264592,0.9416396111447337,1,1
65,0.011184795699664626,0.6556530820247968,1,0
66,0.004624530773565259,0.3560932429117778,0,0
67,-0.0032587630903866665,0.37508566922856634,0,0
68,-0.005050310193636589,0.45274654193645814,0,0
69,0.008100161634611079,0.540156401224958,1,0
70,0.004232380330487911,0.3885864927850521,0,0
71,0.009617574048847714,0.6713951190178012,1,0
72,0.0002755668775752117,0.31218775208835625,0,0
73,0.0009908979761282131,0.3290895490060674,0,0
74,-0.001670938804783822,0.36073858067338904,0,0
75,0.002031022039341332,0.34966991450066875,0,0
76,0.004047149490329317,0.37712263277108704,0,0
77,-0.004216886860733487,0.41820964817493944,0,0
78,0.01209976172510622,0.8089795814145893,1,1
79,0.004277612229815055,0.37346183704559366,0,0
80,-0.0020997529298021726,0.3339064654796026,0,0
81,-0.0013218873195647214,0.32352677139147834,0,0
82,0.004415521513063855,0.4183430878812216,0,0
83,0.0015053777147378932,0.40154992243969456,0,0
84,2.019100692626623e-05,0.3879269581161637,0,0
85,-0.0011262712776748888,0.40141491297133114,0,0
86,0.006033197004627186,0.703328675288743,1,0
87,0.009386477746422634,0.6965240812269691,1,0
88,0.0015413916346061832,0.5847668845975713,1,0
89,0.006366569763314618,0.7819981803923892,1,1
90,0.021057111843310862,0.7081072591074975,1,0
91,0.008179423844093866,0.7836004945237701,1,1
92,0.0037901492039501294,0.5801558782580217,1,0
93,-0.0009461914115077412,0.3214732277066708,0,0
94,0.0026737856180307725,0.5132379308627955,1,0
95,0.0009865388302543942,0.4173927569782073,0,0
96,-0.004411224248015109,0.17499446557130943,0,0
97,0.0017711239791297982,0.4480423426181544,0,0
98,0.012237678447030163,0.9084433595740252,1,1
99,0.011886937507036042,0.8832736361729935,1,1
100,-0.001768569856333419,0.26357210076794185,0,0
101,0.0016426801774888488,0.422599537247976,0,0
102,-0.01619401979531743,0.14993896181585936,0,0
103,0.008564503978030099,0.7046199188483042,1,0
104,0.0023160678985458026,0.3636995792775793,0,0
105,0.0056933999747621365,0.5320004340489599,1,0
106,0.009038854573151676,0.7567223399896548,1,1
107,0.005745865036697924,0.5353102122006033,1,0
108,-0.0020872611136357926,0.24947448244899686,0,0
109,-0.001789591140422275,0.2565676243256646,0,0
110,-0.001289475957173609,0.27444065042789656,0,0
111,-0.006381837652305892,0.34499948973666716,0,0
112,0.006755703078955508,0.5417463503869119,1,0
113,0.0018418992209164205,0.42764208877096677,0,0
114,-0.009171553083664545,0.4606807931929968,0,0
115,0.0018855968785188228,0.3938114557469633,0,0
116,0.003402250061687519,0.4147325198381573,0,0
117,0.002032577360253698,0.4030850589931913,0,0
118,0.010962151095993834,0.7299104186103662,1,0
119,0.009157670934807067,0.6189584050733832,1,0
120,-0.0035431627365797584,0.4127027939916743,0,0
121,-0.020838267509592518,0.9827428489862821,1,1
122,-0.004645283527719222,0.4204564730723089,0,0
123,0.00746603584723058,0.49470360875038866,0,0
124,-0.0023713057798657863,0.39513205719835415,0,0
125,-0.016059182389733417,0.9260237164418264,1,1
126,0.010193572444797395,0.5098884382612597,1,0
127,-0.004200190852211605,0.4337510226820885,0,0
128,0.01735148384655298,0.8733134185933596,1,1
129,-0.009901791690533108,0.7028492162992893,1,0
130,0.00822181909550454,0.4098338856250561,0,0
131,-0.0008295198938286502,0.2798319032787704,0,0
132,0.007486783884262016,0.40866386000384414,0,0
133,-0.004218777035758863,0.35789238854253197,0,0
134,0.00812359587930354,0.4231001875497149,0,0
135,0.0005012691327740517,0.2739472883911538,0,0
136,-0.008698392734359454,0.5736445963593605,1,0
137,0.0012079265322559223,0.2626090962789197,0,0
138,-0.00799108370955382,0.5518789839020458,1,0
139,0.005325273425585805,0.2982787310201478,0,0
140,0.005539671827816872,0.2990105736549887,0,0
141,0.0035796112533638498,0.2771703831868308,0,0
142,0.00484298799997595,0.3935828091233983,0,0
143,0.003780260422151296,0.3878177095947654,0,0
144,0.004115055744756841,0.3941002963938993,0,0
145,-0.008110920227908183,0.4991602244091938,0,0
146,0.008504842130670123,0.5907059336715583,1,0
147,-0.0010200142065139458,0.40686775530715913,0,0
148,-0.0034799206437058894,0.38926092933960665,0,0
149,0.003477667805411342,0.5191482699869812,1,0
150,-0.012146444306450802,0.19415642393064125,0,0
151,0.005267443487621678,0.48943352878014407,0,0
152,0.012802165467900053,0.48703615978655024,0,0
153,0.0021185950928102495,0.4861679570519499,0,0
154,0.001083289419009741,0.4904775131410608,0,0
155,-0.0017494806852456231,0.4936281286850936,0,0
156,0.005421687264355975,0.5019864333197899,1,0
157,0.00015345763431799303,0.521819766734259,1,0
