time,returns,cp_prob,detected_50,detected_75
0,-0.004607044062550458,0.0,0,0
1,-0.0018156163205541639,0.0,0,0
2,0.004468806923207224,0.0,0,0
3,-0.005855077826024073,0.0,0,0
4,-0.006881135670005823,0.0,0,0
5,0.003710603837670452,0.0,0,0
6,-0.000693867847663171,0.0,0,0
7,-0.013438045980878974,0.0,0,0
8,-0.009095594820216955,0.0,0,0
9,0.0061817795253635765,0.0,0,0
10,-0.00056861577043669,0.0,0,0
11,0.003337942150116959,0.0,0,0
12,-0.002266760889333452,0.0,0,0
13,-0.007533702018287044,0.0,0,0
14,-0.006343007582619309,0.0,0,0
15,-0.0045468879107558955,0.0,0,0
16,-0.003338388910806695,0.0,0,0
17,-0.0011221165774819469,0.0,0,0
18,-0.001652999474597577,0.0,0,0
19,0.0038322846118681512,0.0,0,0
20,-0.00024911345881805356,0.5,0,0
21,0.011975676397168974,0.6013685295573067,1,0
22,-0.00042275216784147876,0.4751545868868401,0,0
23,-0.00661523663071363,0.5038270751108289,1,0
24,0.0076639183721369745,0.5523561530347312,1,0
25,8.762135000912165e-05,0.47331573709586533,0,0
26,-0.006827088372458532,0.4777052788692125,0,0
27,-0.003354500817776051,0.44871090469563263,0,0
28,0.0077534358277659135,0.5906298872103265,1,0
29,0.004057858344817605,0.6050442575768423,1,0
30,-0.0009065603949124877,0.5307024152094618,1,0
31,-0.0016918995097836285,0.5055499310348491,1,0
32,0.008665128928716547,0.5672592656324714,1,0
33,0.006975860584166068,0.6040834919798008,1,0
34,0.009900013117921961,0.6910958488274782,1,0
35,-0.00282848050557498,0.39723679065455847,0,0
36,0.008961682566743349,0.7405546894805041,1,0
37,0.0018294960929949333,0.554978851545748,1,0
38,0.003698815886950696,0.6269126385562889,1,0
39,-0.004529891187343897,0.23926210661847672,0,0
40,-0.011003731849778228,0.15791245421715872,0,0
41,-0.01848855894456881,0.5231859849108519,1,0
42,0.0006666655709117157,0.42550439552952507,0,0
43,0.0026499386021041397,0.4557639379540678,0,0
44,-0.002146032761363067,0.3832052265446747,0,0
45,-0.001382428813358373,0.40852949718584713,0,0
46,-0.0070323991471648965,0.41352362488337363,0,0
47,0.007086208453721756,0.6029616302921429,1,0
48,-0.004670876355486441,0.3642055920264312,0,0
49,-0.009096258382877026,0.45443192113516717,0,0
50,0.004874073653803604,0.4800826207053567,0,0
51,0.003608192560997919,0.4491002135292181,0,0
52,-0.01132309314826034,0.5685367314990055,1,0
53,0.011556341915888097,0.6999699584657485,1,0
54,0.0031822925506818267,0.3985752873785925,0,0
55,0.0011449007712565724,0.38863888802388435,0,0
56,-0.00789157543445251,0.5246778127128146,1,0
57,0.0004985132313808871,0.3894987553483752,0,0
58,0.0044822215712477,0.3746221273105267,0,0
59,-0.012381328870091138,0.7756389608039235,1,1
60,-0.0032402771630903014,0.42159512388515785,0,0
61,-0.0002697355579248783,0.39064913058021905,0,0
62,-0.012761507025117075,0.5293299718629866,1,0
63,-0.007853898403179413,0.5397563644530192,1,0
64,-0.013155565288256066,0.7080056663950067,1,0
65,0.012761071390792345,0.5014927184438748,1,0
66,0.005642304082855332,0.4085229420630976,0,0
67,-0.005724023458564757,0.43351006631615574,0,0
68,-0.0021878905760051135,0.39661873564337,0,0
69,0.0069805157433974144,0.4447908710707272,0,0
70,0.006334248067861083,0.4769329431208276,0,0
71,0.00738601585495575,0.5025171643926991,1,0
72,0.0034813722443702397,0.40403530269128224,0,0
