datetime,open,high,low,close,volume
2002-07-01,230.0,230.0,230.0,230.0,60
2002-07-02,230.0,230.0,230.0,230.0,21
2002-07-03,231.0,231.0,231.0,231.0,5
2002-07-04,231.0,231.0,231.0,231.0,5
2002-07-05,240.0,240.0,240.0,240.0,50
2002-07-08,244.0,244.0,233.0,242.0,17
2002-07-09,232.0,232.0,231.0,231.0,17
2002-07-10,231.0,231.0,231.0,231.0,0
2002-07-11,231.0,231.0,231.0,231.0,0
2002-07-12,231.0,231.0,231.0,231.0,0
2002-07-15,232.0,232.0,225.0,225.0,12
2002-07-16,216.0,225.0,216.0,225.0,10
2002-07-17,215.0,225.0,215.0,216.0,15
2002-07-18,220.0,238.0,220.0,220.0,5
2002-07-19,212.0,220.0,212.0,220.0,5
2002-07-22,237.0,237.0,237.0,237.0,5
2002-07-23,237.0,237.0,237.0,237.0,0
2002-07-24,203.0,237.0,203.0,209.0,2
2002-07-25,204.0,204.0,204.0,204.0,5
2002-07-26,204.0,204.0,187.0,193.0,25
2002-07-29,182.0,200.0,182.0,185.0,5
2002-07-30,180.0,200.0,180.0,183.0,10
2002-07-31,165.0,165.0,165.0,165.0,0
2002-08-01,194.0,195.0,194.0,194.0,10
2002-08-02,164.0,167.0,164.0,167.0,15
2002-08-05,200.0,200.0,174.0,174.0,9
2002-08-06,160.0,200.0,160.0,200.0,55
2002-08-07,163.0,184.0,163.0,184.0,10
2002-08-08,186.0,186.0,185.0,185.0,9
2002-08-09,184.0,184.0,183.0,183.0,5
2002-08-12,197.0,197.0,197.0,197.0,27
2002-08-13,197.0,197.0,197.0,197.0,0
2002-08-14,188.0,188.0,187.0,187.0,12
2002-08-15,187.0,187.0,187.0,187.0,0
2002-08-16,187.0,187.0,187.0,187.0,0
2002-08-19,176.0,176.0,176.0,176.0,10
2002-08-20,196.0,199.0,196.0,199.0,17
2002-08-21,197.0,197.0,197.0,197.0,2
2002-08-22,200.0,200.0,200.0,200.0,5
2002-08-23,185.0,185.0,185.0,185.0,10
2002-08-26,200.0,200.0,200.0,200.0,5
2002-08-27,217.0,217.0,197.0,210.0,22
2002-08-28,210.0,210.0,210.0,210.0,0
2002-08-29,191.0,191.0,191.0,191.0,6
2002-08-30,191.0,191.0,191.0,191.0,0
2002-09-02,216.0,216.0,216.0,216.0,5
2002-09-03,205.0,217.0,205.0,217.0,50
2002-09-04,194.0,210.0,194.0,210.0,60
2002-09-05,211.0,219.0,205.0,205.0,60
2002-09-06,198.0,209.0,198.0,209.0,65
2002-09-09,209.0,209.0,209.0,209.0,0
2002-09-10,209.0,209.0,209.0,209.0,0
2002-09-11,209.0,209.0,209.0,209.0,0
2002-09-12,180.0,180.0,180.0,180.0,0
2002-09-13,180.0,180.0,170.0,170.0,6
2002-09-16,190.0,190.0,190.0,190.0,10
2002-09-17,194.0,195.0,175.0,175.0,25
2002-09-18,175.0,175.0,175.0,175.0,0
2002-09-19,175.0,175.0,175.0,175.0,0
2002-09-20,190.0,209.0,190.0,208.0,65
2002-09-23,210.0,210.0,210.0,210.0,0
2002-09-24,216.0,216.0,200.0,214.0,6
2002-09-25,214.0,214.0,214.0,214.0,0
2002-09-26,186.0,186.0,186.0,186.0,2
2002-09-27,186.0,186.0,186.0,186.0,0
2002-09-30,186.0,186.0,186.0,186.0,0
2002-10-01,204.0,218.0,183.0,199.0,26
2002-10-02,199.0,199.0,199.0,199.0,0
2002-10-03,190.0,198.0,186.0,198.0,20
2002-10-04,190.0,200.0,190.0,190.0,11
2002-10-07,190.0,202.0,163.0,202.0,33
2002-10-08,200.0,200.0,200.0,200.0,0
2002-10-09,209.0,209.0,209.0,209.0,0
2002-10-10,209.0,209.0,209.0,209.0,0
2002-10-11,209.0,209.0,209.0,209.0,0
2002-10-14,204.0,204.0,177.0,198.0,0
2002-10-15,198.0,198.0,198.0,198.0,0
2002-10-16,177.0,177.0,175.0,175.0,25
2002-10-17,168.0,193.0,168.0,193.0,5
2002-10-18,193.0,193.0,193.0,193.0,0
2002-10-21,193.0,193.0,193.0,193.0,0
2002-10-22,170.0,170.0,170.0,170.0,5
2002-10-23,170.0,170.0,170.0,170.0,0
2002-10-24,170.0,170.0,170.0,170.0,0
2002-10-25,165.0,165.0,163.0,164.0,15
2002-10-28,160.0,170.0,160.0,162.0,14
2002-10-29,175.0,188.0,154.0,154.0,30
2002-10-30,177.0,177.0,172.0,172.0,2
2002-10-31,206.0,206.0,157.0,157.0,25
2002-11-01,157.0,157.0,157.0,157.0,0
2002-11-04,182.0,182.0,182.0,182.0,2
2002-11-05,162.0,179.0,161.0,179.0,55
2002-11-06,179.0,179.0,179.0,179.0,0
2002-11-07,188.0,190.0,167.0,185.0,35
2002-11-08,178.0,200.0,178.0,196.0,70
2002-11-11,187.0,187.0,187.0,187.0,10
