datetime,open,high,low,close,volume
2024-12-27,393.0,456.8999938964844,392.95001220703125,415.1000061035156,43448517
2024-12-30,418.0,427.0,368.6000061035156,371.54998779296875,9966508
2024-12-31,368.95001220703125,406.95001220703125,363.54998779296875,381.5,13176482
2025-01-01,382.8999938964844,392.6499938964844,379.79998779296875,382.95001220703125,3279660
2025-01-02,385.0,409.45001220703125,380.45001220703125,396.6000061035156,9136466
2025-01-03,400.8999938964844,414.79998779296875,393.25,404.04998779296875,8524354
2025-01-06,406.6499938964844,425.0,383.0,388.0,11864977
2025-01-07,395.04998779296875,406.75,387.6000061035156,402.0,5676039
2025-01-08,402.0,403.79998779296875,384.20001220703125,388.45001220703125,2754691
2025-01-09,388.95001220703125,394.04998779296875,377.75,381.79998779296875,2231058
2025-01-10,380.8500061035156,380.8999938964844,351.54998779296875,357.20001220703125,2733205
2025-01-13,341.1499938964844,361.3999938964844,324.04998779296875,326.79998779296875,3647752
2025-01-14,330.95001220703125,352.95001220703125,327.04998779296875,344.6000061035156,2661533
2025-01-15,350.0,352.0,336.3500061035156,339.79998779296875,1458311
2025-01-16,345.04998779296875,360.8999938964844,340.0,341.8500061035156,1959956
2025-01-17,343.25,346.45001220703125,333.8999938964844,338.45001220703125,982567
2025-01-20,340.8999938964844,342.6499938964844,325.3999938964844,330.5,818348
2025-01-21,332.0,336.0,307.04998779296875,309.20001220703125,1648870
2025-01-22,312.1000061035156,312.6499938964844,292.70001220703125,300.75,2109771
2025-01-23,298.0,298.54998779296875,283.6499938964844,284.75,3880712
2025-01-24,286.8999938964844,291.0,276.0,279.95001220703125,4531444
2025-01-27,302.0,314.5,282.5,288.1499938964844,15952993
2025-01-28,295.0,309.20001220703125,274.5,295.3500061035156,8421876
2025-01-29,297.1000061035156,307.79998779296875,292.04998779296875,302.79998779296875,3057653
2025-01-30,305.45001220703125,322.5,299.0,300.29998779296875,5487872
2025-01-31,303.1499938964844,311.3999938964844,294.1000061035156,307.75,3312723
2025-02-01,307.0,312.3500061035156,297.1000061035156,306.3500061035156,1866975
2025-02-03,297.1000061035156,302.6000061035156,290.1499938964844,292.75,1369396
2025-02-04,297.45001220703125,304.8999938964844,294.75,302.79998779296875,1375454
2025-02-05,303.6499938964844,311.29998779296875,301.3500061035156,304.29998779296875,1279102
2025-02-06,305.1000061035156,306.6499938964844,298.1499938964844,301.6499938964844,922438
2025-02-07,302.8500061035156,303.3500061035156,292.25,294.8999938964844,1026216
2025-02-10,294.75,294.75,278.6000061035156,280.6499938964844,1164513
2025-02-11,282.20001220703125,282.20001220703125,266.0,267.95001220703125,1083367
2025-02-12,268.0,270.6499938964844,255.60000610351562,266.3500061035156,1480425
2025-02-13,269.0,271.95001220703125,259.8999938964844,264.1499938964844,935339
2025-02-14,265.04998779296875,265.5,251.8000030517578,256.0,1005475
2025-02-17,252.0500030517578,257.6499938964844,245.1999969482422,250.5,1073273
2025-02-18,251.9499969482422,253.64999389648438,238.60000610351562,244.3000030517578,1157668
2025-02-19,243.89999389648438,254.5,238.89999389648438,251.10000610351562,1017504
2025-02-20,249.0,258.70001220703125,247.75,255.3000030517578,981691
2025-02-21,254.0,258.70001220703125,242.10000610351562,244.10000610351562,1043227
2025-02-24,239.85000610351562,240.60000610351562,233.0,237.35000610351562,904351
2025-02-25,237.6999969482422,241.35000610351562,224.0,226.8000030517578,1074034
2025-02-27,226.6999969482422,227.89999389648438,219.4499969482422,223.6999969482422,1052835
2025-02-28,220.14999389648438,224.75,213.0500030517578,216.1999969482422,919960
2025-03-03,220.0,220.77999877929688,201.5,207.80999755859375,1373743
2025-03-04,200.61000061035156,211.89999389648438,200.0,202.2899932861328,1615056
2025-03-05,204.0,210.89999389648438,202.2100067138672,206.83999633789062,1535021
2025-03-06,210.8000030517578,216.0,206.25,213.88999938964844,1584820
2025-03-07,213.88999938964844,226.88999938964844,212.39999389648438,223.5,2268035
2025-03-10,223.0,224.60000610351562,213.0,216.88999938964844,1163238
2025-03-11,211.5500030517578,212.52999877929688,207.5,208.9600067138672,857211
2025-03-12,210.0399932861328,213.1999969482422,203.6999969482422,207.88999938964844,723990
2025-03-13,212.0,219.49000549316406,203.1999969482422,204.8699951171875,2186092
2025-03-17,206.0,214.25,202.0800018310547,208.69000244140625,1772945
2025-03-18,208.69000244140625,208.69000244140625,208.69000244140625,208.69000244140625,0
2025-03-19,218.6999969482422,228.5,218.69000244140625,224.63999938964844,1620080
2025-03-20,227.00999450683594,230.89999389648438,220.0,221.6199951171875,1229999
2025-03-21,222.60000610351562,232.89999389648438,222.30999755859375,231.38999938964844,1358370
2025-03-24,229.8000030517578,256.3999938964844,221.5800018310547,250.3699951171875,6811187
2025-03-25,250.5,253.69000244140625,232.0,233.83999633789062,3237906
2025-03-26,234.8800048828125,236.27000427246094,224.0,228.4199981689453,1682816
2025-03-27,228.0,238.0,224.39999389648438,235.6999969482422,2498761
2025-03-28,237.97999572753906,246.8000030517578,232.3300018310547,235.0800018310547,1712233
2025-04-01,229.99000549316406,241.75,229.6999969482422,236.27000427246094,1031759
2025-04-02,237.60000610351562,240.02999877929688,231.50999450683594,238.3699951171875,786528
2025-04-03,235.0,242.33999633789062,233.39999389648438,239.8000030517578,705441
2025-04-04,238.10000610351562,239.99000549316406,217.4199981689453,219.30999755859375,1763592
2025-04-07,204.0,208.25999450683594,195.5500030517578,204.91000366210938,1754581
2025-04-08,213.6999969482422,214.94000244140625,200.80999755859375,203.52999877929688,1482242
2025-04-09,203.0,203.39999389648438,198.16000366210938,200.99000549316406,861971
2025-04-11,207.17999267578125,209.0,203.47999572753906,207.0800018310547,864354
2025-04-15,211.49000549316406,220.5,209.5,218.8800048828125,862382
2025-04-16,219.60000610351562,223.0,217.10000610351562,221.61000061035156,958069
2025-04-17,221.0,222.8000030517578,217.4600067138672,220.5,513223
2025-04-21,221.5500030517578,232.9499969482422,219.2100067138672,229.82000732421875,1021156
2025-04-22,231.5,232.8800048828125,224.52999877929688,225.47999572753906,918444
2025-04-23,228.0,229.8000030517578,222.24000549316406,227.7899932861328,695038
2025-04-24,227.7899932861328,232.24000549316406,226.0,226.64999389648438,577785
2025-04-25,226.99000549316406,228.07000732421875,216.55999755859375,221.89999389648438,929284
2025-04-28,221.8000030517578,222.75,217.00999450683594,217.9499969482422,434449
2025-04-29,219.99000549316406,223.0,216.83999633789062,218.3800048828125,456110
2025-04-30,217.8000030517578,218.0,210.0,212.8699951171875,560123
2025-05-02,213.0,216.1999969482422,209.00999450683594,209.47000122070312,315667
2025-05-05,209.1999969482422,214.10000610351562,206.41000366210938,213.39999389648438,789000
2025-05-06,213.27999877929688,214.97999572753906,201.39999389648438,203.63999938964844,797211
2025-05-07,201.10000610351562,207.1300048828125,199.44000244140625,205.72999572753906,608371
2025-05-08,206.0500030517578,210.82000732421875,201.0,202.49000549316406,582288
2025-05-09,198.0,204.85000610351562,197.39999389648438,202.8699951171875,609645
2025-05-12,210.99000549316406,222.0,210.0,219.22000122070312,1129838
2025-05-13,222.22000122070312,223.7899932861328,217.0,218.13999938964844,978120
2025-05-14,220.6999969482422,221.8000030517578,217.5,220.66000366210938,953368
2025-05-15,210.0,213.64999389648438,203.10000610351562,204.0800018310547,2959372
2025-05-16,204.99000549316406,224.35000610351562,201.0500030517578,222.5500030517578,4578340
2025-05-19,224.89999389648438,230.72999572753906,223.50999450683594,229.4199981689453,1305835
2025-05-20,231.25,236.85000610351562,224.77999877929688,226.13999938964844,1312583
2025-05-21,226.75,244.8000030517578,225.10000610351562,239.39999389648438,2370366
2025-05-22,240.0,243.8000030517578,233.1999969482422,235.47000122070312,792688
2025-05-23,236.1699981689453,269.3999938964844,234.24000549316406,263.1099853515625,6094244
2025-05-26,263.25,275.3900146484375,260.5199890136719,271.489990234375,3385557
2025-05-27,274.0,282.989990234375,271.0,278.17999267578125,2872664
2025-05-28,279.0,280.0,270.5,272.0,874105
2025-05-29,272.75,274.1600036621094,267.70001220703125,269.7900085449219,838681
2025-05-30,269.8800048828125,274.54998779296875,266.7900085449219,268.739990234375,790455
2025-06-02,267.5,276.6000061035156,262.5,270.1499938964844,998571
2025-06-03,271.70001220703125,279.0,268.54998779296875,274.1499938964844,1243301
2025-06-04,274.5,281.79998779296875,272.70001220703125,280.54998779296875,1009928
2025-06-05,283.0,297.29998779296875,282.04998779296875,294.45001220703125,2472446
2025-06-06,296.79998779296875,303.5,286.0,289.20001220703125,1583892
2025-06-09,290.04998779296875,301.70001220703125,284.8999938964844,298.6000061035156,1239928
2025-06-10,300.70001220703125,301.8999938964844,288.1000061035156,290.1000061035156,721725
2025-06-11,290.1499938964844,296.1000061035156,282.45001220703125,285.95001220703125,816950
2025-06-12,287.0,287.3999938964844,268.1000061035156,272.6000061035156,1068319
2025-06-13,264.0,279.0,264.0,274.6499938964844,613675
2025-06-16,272.20001220703125,276.0,260.5,263.20001220703125,1176255
2025-06-17,265.0,267.3500061035156,247.5,250.10000610351562,1557306
2025-06-18,251.6999969482422,262.0,246.4499969482422,255.39999389648438,1062399
2025-06-19,256.5,256.95001220703125,242.10000610351562,243.60000610351562,577378
2025-06-20,243.0,250.6999969482422,242.5500030517578,249.8000030517578,402784
2025-06-23,248.0,259.29998779296875,244.64999389648438,257.3999938964844,734107
2025-06-24,261.1499938964844,268.3999938964844,260.1000061035156,261.6499938964844,749951
2025-06-25,264.0,267.79998779296875,248.1999969482422,249.9499969482422,958764
2025-06-26,251.8000030517578,255.8000030517578,250.0,252.60000610351562,518203
2025-06-27,255.0,258.70001220703125,253.5,257.5,596252
2025-06-30,259.3999938964844,259.95001220703125,255.0,256.3999938964844,350768
2025-07-01,257.3999938964844,258.6000061035156,249.39999389648438,252.8000030517578,533746
2025-07-02,252.0,255.5500030517578,250.1999969482422,252.4499969482422,385429
2025-07-03,252.4499969482422,261.95001220703125,251.39999389648438,259.75,582394
2025-07-04,261.75,263.3500061035156,255.0,259.8999938964844,582592
2025-07-07,259.8999938964844,260.0,252.0,253.60000610351562,326721
2025-07-08,253.6999969482422,257.3500061035156,251.3000030517578,254.6999969482422,451196
2025-07-09,255.0,255.75,251.39999389648438,252.0500030517578,394021
2025-07-10,252.35000610351562,256.8999938964844,251.60000610351562,253.85000610351562,284187
2025-07-11,253.5,254.39999389648438,248.5,249.75,385692
2025-07-14,249.6999969482422,249.6999969482422,245.8000030517578,248.75,313808
2025-07-15,249.89999389648438,255.0,249.5,252.1999969482422,342861
2025-07-16,252.1999969482422,255.0,251.1999969482422,253.0500030517578,258721
2025-07-17,254.39999389648438,254.4499969482422,249.39999389648438,250.35000610351562,283065
2025-07-18,250.60000610351562,251.5,245.5,246.89999389648438,274615
2025-07-21,247.85000610351562,249.0,235.9499969482422,238.5,643147
2025-07-22,239.0500030517578,241.89999389648438,236.3000030517578,238.1999969482422,451521
2025-07-23,240.0500030517578,252.9499969482422,238.4499969482422,250.25,1089430
2025-07-24,230.25,243.64999389648438,228.14999389648438,240.6999969482422,3485982
2025-07-25,239.9499969482422,239.9499969482422,234.9499969482422,236.5500030517578,722209
2025-07-28,237.8000030517578,237.8000030517578,217.0,218.85000610351562,1042550
2025-07-29,218.6999969482422,227.9499969482422,216.35000610351562,226.14999389648438,871035
2025-07-30,226.10000610351562,228.60000610351562,221.3000030517578,226.39999389648438,379501
2025-07-31,221.60000610351562,225.4499969482422,218.5500030517578,221.10000610351562,878316
2025-08-01,220.0,222.9600067138672,215.3000030517578,217.00999450683594,418601
2025-08-04,217.00999450683594,221.85000610351562,216.0,219.85000610351562,359061
2025-08-05,220.14999389648438,221.5,214.3000030517578,216.0399932861328,338077
2025-08-06,216.0,217.89999389648438,207.0500030517578,208.69000244140625,650354
2025-08-07,208.69000244140625,214.35000610351562,208.0,212.82000732421875,450824
2025-08-08,214.8000030517578,214.80999755859375,208.75,209.22000122070312,288547
2025-08-11,209.22000122070312,218.2100067138672,208.0,217.14999389648438,755572
2025-08-12,218.8000030517578,221.49000549316406,215.0399932861328,215.72000122070312,250502
2025-08-13,216.77000427246094,223.25,216.66000366210938,222.1999969482422,327898
2025-08-14,222.14999389648438,222.36000061035156,215.0,216.13999938964844,225232
2025-08-18,223.0,223.0,216.0,216.64999389648438,314765
2025-08-19,216.99000549316406,220.88999938964844,216.00999450683594,219.49000549316406,248157
2025-08-20,220.0,228.0,218.77999877929688,226.3800048828125,636944
2025-08-21,227.50999450683594,228.89999389648438,225.0,225.22999572753906,318204
2025-08-22,224.25,226.66000366210938,222.25999450683594,224.0800018310547,148949
2025-08-25,225.25,226.49000549316406,218.4499969482422,219.38999938964844,196796
2025-08-26,218.89999389648438,223.8699951171875,215.00999450683594,223.22999572753906,300533
2025-08-28,221.0,223.1999969482422,218.0399932861328,221.14999389648438,169919
2025-08-29,221.6999969482422,222.5,218.9499969482422,219.2899932861328,104251
2025-09-01,219.02000427246094,221.86000061035156,217.60000610351562,218.24000549316406,195358
2025-09-02,218.99000549316406,223.5,217.97000122070312,221.97999572753906,203287
2025-09-03,221.89999389648438,231.10000610351562,220.25999450683594,226.49000549316406,518531
2025-09-04,228.60000610351562,232.1999969482422,222.10000610351562,223.5,299943
2025-09-05,223.0,227.19000244140625,222.0,224.9600067138672,156064
2025-09-08,225.89999389648438,227.52000427246094,221.52000427246094,222.8000030517578,185714
2025-09-09,224.0,225.75,222.22000122070312,224.61000061035156,110851
2025-09-10,225.8000030517578,234.25,222.6699981689453,228.02999877929688,767437
2025-09-11,228.02999877929688,231.47999572753906,222.8800048828125,223.9600067138672,428765
2025-09-12,225.0,226.60000610351562,221.10000610351562,222.02999877929688,250219
2025-09-15,223.60000610351562,240.5,223.60000610351562,235.94000244140625,1359247
2025-09-16,238.0,239.35000610351562,233.8000030517578,237.05999755859375,446557
2025-09-17,238.0,240.47999572753906,232.3699951171875,232.99000549316406,321729
2025-09-18,234.13999938964844,238.39999389648438,232.5,234.1300048828125,301228
2025-09-19,233.14999389648438,246.9499969482422,233.14999389648438,245.4600067138672,1191957
2025-09-22,248.0,264.04998779296875,245.99000549316406,258.42999267578125,2678393
2025-09-23,260.75,264.8999938964844,250.50999450683594,253.49000549316406,1343560
2025-09-24,254.60000610351562,263.0,248.5399932861328,251.6300048828125,1597981
2025-09-25,251.5500030517578,258.5,249.85000610351562,251.8800048828125,554190
2025-09-26,251.8800048828125,253.49000549316406,235.10000610351562,237.47999572753906,723485
2025-09-29,241.39999389648438,245.89999389648438,237.3000030517578,238.72000122070312,545295
2025-09-30,238.02000427246094,243.8699951171875,231.25999450683594,233.4499969482422,398756
2025-10-01,233.5,239.0,230.7899932861328,236.91000366210938,444129
2025-10-03,237.0399932861328,241.3000030517578,236.0,239.64999389648438,275562
2025-10-06,241.5,244.89999389648438,238.3000030517578,242.17999267578125,557059
2025-10-07,243.0,264.0,240.7899932861328,246.1300048828125,2989199
2025-10-08,247.14999389648438,254.75999450683594,246.0,249.88999938964844,960518
2025-10-09,248.5,249.6999969482422,244.75,247.97999572753906,409558
2025-10-10,246.52000427246094,250.5,246.30999755859375,249.33999633789062,356147
2025-10-13,245.5,257.69000244140625,245.0,255.6300048828125,783029
2025-10-14,255.11000061035156,256.0,243.33999633789062,244.0500030517578,613090
2025-10-15,244.97999572753906,254.0,243.80999755859375,252.36000061035156,501433
2025-10-16,253.5,258.8999938964844,251.3000030517578,252.14999389648438,606637
2025-10-17,252.0,252.88999938964844,246.47999572753906,248.05999755859375,298518
2025-10-20,249.0,255.8000030517578,243.74000549316406,254.9499969482422,726126
2025-10-21,257.0,260.0,256.989990234375,259.1000061035156,401805
2025-10-23,260.0,264.1600036621094,252.02000427246094,253.74000549316406,868282
2025-10-24,253.74000549316406,254.3300018310547,247.74000549316406,249.1199951171875,344342
